"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/21/2023","AQS","150010005","1","2.5","ug/m3 LC","14","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/22/2023","AQS","150010005","1","2.6","ug/m3 LC","14","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/23/2023","AQS","150010005","1","1.7","ug/m3 LC","9","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/24/2023","AQS","150010005","1","1.4","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/25/2023","AQS","150010005","1","6","ug/m3 LC","33","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/26/2023","AQS","150010005","1","1.1","ug/m3 LC","6","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/27/2023","AQS","150010005","1","1.7","ug/m3 LC","9","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/28/2023","AQS","150010005","1","1","ug/m3 LC","6","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/29/2023","AQS","150010005","1","0.4","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/30/2023","AQS","150010005","1","1.7","ug/m3 LC","9","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/31/2023","AQS","150010005","1","6.4","ug/m3 LC","36","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/01/2023","AQS","150010005","1","8.2","ug/m3 LC","46","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/02/2023","AQS","150010005","1","2.6","ug/m3 LC","14","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/03/2023","AQS","150010005","1","1.5","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/04/2023","AQS","150010005","1","1.2","ug/m3 LC","7","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/05/2023","AQS","150010005","1","1.4","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/06/2023","AQS","150010005","1","1.4","ug/m3 LC","8","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/07/2023","AQS","150010005","1","0.8","ug/m3 LC","4","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/08/2023","AQS","150010005","1","0.9","ug/m3 LC","5","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
